"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Type.of.Breach","Location.of.Breached.Information","month","year"
"Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees","IN","Business Associate",5330,"Hacking/IT Incident","Network Server",8,2023
"Lurie Children’s Surgical Foundation ","IL","Healthcare Provider",1997,"Hacking/IT Incident","Network Server",8,2023
"Harris Eye Care","MI","Healthcare Provider",6267,"Hacking/IT Incident","Network Server",8,2023
"Premera Blue Cross","WA","Health Plan",33212,"Hacking/IT Incident","Network Server",8,2023
"Spinal and Sports Care Clinic PS","WA","Healthcare Provider",1100,"Hacking/IT Incident","Network Server",8,2023
"Missouri Department of Social Services","MO","Health Plan",739884,"Hacking/IT Incident","Network Server",8,2023
"Cranberry Township Emergency Medical Service","PA","Healthcare Provider",1247,"Hacking/IT Incident","Network Server",8,2023
"Gary Motykie, M.D., a Medical Corporation ","CA","Healthcare Provider",3400,"Hacking/IT Incident","Desktop Computer, Network Server",8,2023
"Radius Global Solutions","MN","Business Associate",600794,"Hacking/IT Incident","Network Server",8,2023
"Maximus, Inc.","VA","Business Associate",9179226,"Hacking/IT Incident","Network Server",8,2023
"Capital Neurological Surgeons","CA","Healthcare Provider",1769,"Hacking/IT Incident","Email",8,2023
"Unum Group SACE","TN","Health Plan",531732,"Hacking/IT Incident","Network Server",8,2023
"Self-insured group health plans sponsored by the City of Dallas","TX","Health Plan",30253,"Hacking/IT Incident","Network Server",8,2023
"Advanced Care Partners, LLC","GA","Healthcare Provider",518,"Unauthorized Access/Disclosure","Email",8,2023
"Plumbers Local 8 Health & Welfare Fund","MO","Health Plan",4790,"Hacking/IT Incident","Email",8,2023
"Grane Supply, Inc.","PA","Healthcare Provider",798,"Unauthorized Access/Disclosure","Email",8,2023
"HCA Healthcare","TN","Business Associate",11270000,"Hacking/IT Incident","Other",7,2023
"Howard County General Hospital","MD","Healthcare Provider",2975,"Hacking/IT Incident","Network Server",7,2023
"Synergy Healthcare Services","GA","Business Associate",25772,"Hacking/IT Incident","Network Server",7,2023
"UC Davis Health","CA","Healthcare Provider",3201,"Hacking/IT Incident","Email",7,2023
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")","MN","Business Associate",1027,"Hacking/IT Incident","Network Server",7,2023
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan",398319,"Hacking/IT Incident","Network Server",7,2023
"Jefferson County Health Center","IA","Healthcare Provider",53827,"Hacking/IT Incident","Network Server",7,2023
"The Chattanooga Heart Institute","TN","Healthcare Provider",170450,"Hacking/IT Incident","Network Server",7,2023
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ","FL","Healthcare Provider",2430920,"Hacking/IT Incident","Network Server",7,2023
"Centers for Medicare & Medicaid Services","MD","Health Plan",2342357,"Hacking/IT Incident","Network Server",7,2023
"CareSource","OH","Business Associate",3180537,"Unauthorized Access/Disclosure","Network Server",7,2023
"Hillsborough County, Florida (County Government)","FL","Healthcare Provider",70636,"Hacking/IT Incident","Network Server",7,2023
"Life Management Center of Northwest Florida, Inc. ","FL","Healthcare Provider",19107,"Hacking/IT Incident","Network Server",7,2023
"Family Vision of Anderson, P.A.","SC","Healthcare Provider",62631,"Hacking/IT Incident","Network Server",7,2023
"Bi-Bett Corporation","CA","Business Associate",4722,"Hacking/IT Incident","Email",7,2023
"UT Southwestern Medical Center","TX","Healthcare Provider",98437,"Hacking/IT Incident","Network Server",7,2023
"Sutter Senior Care ","CA","Healthcare Provider",519,"Hacking/IT Incident","Network Server",7,2023
"Paramedic Billing Services","IL","Healthcare Clearing House",501,"Hacking/IT Incident","Network Server",7,2023
"Harris County Hospital District d/b/a Harris Health System ","TX","Healthcare Provider",455676,"Hacking/IT Incident","Network Server",7,2023
"Batesville Tool & Die, Inc.","IN","Health Plan",574,"Hacking/IT Incident","Network Server",7,2023
"Pennsylvania Department of Human Services","PA","Healthcare Provider",16390,"Unauthorized Access/Disclosure","Network Server",7,2023
"New England Life Care, Inc.","ME","Healthcare Provider",51854,"Hacking/IT Incident","Network Server",7,2023
"Mindful Innovations, PLLC","NC","Healthcare Provider",1900,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop",7,2023
"Associated Pathologists, LLC dba PathGroup Health Plan","TN","Health Plan",2031,"Hacking/IT Incident","Network Server",7,2023
"ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED","OH","Healthcare Provider",750,"Hacking/IT Incident","Network Server",7,2023
"IVF Michigan, P.C.","MI","Healthcare Provider",9383,"Hacking/IT Incident","Network Server",7,2023
"Fairfax Oral and Maxillofacial Surgery ","VA","Healthcare Provider",208194,"Hacking/IT Incident","Network Server",7,2023
"The Pavillion at Health Park, LLC dba Park Royal Hospital","FL","Healthcare Provider",500,"Hacking/IT Incident","Email",7,2023
"Wake Family Eye Care","NC","Healthcare Provider",14264,"Hacking/IT Incident","Network Server",7,2023
"Beacon Specialized Living","MI","Healthcare Provider",3338,"Hacking/IT Incident","Network Server",7,2023
"East Houston Medicine and Pediatrics Clinic","TX","Healthcare Provider",13184,"Loss","Paper/Films",7,2023
"Kansas Joint & Spine Specialists ","KS","Healthcare Provider",83869,"Hacking/IT Incident","Network Server",7,2023
"Konen & Associates dba Unified Pain Management ","TX","Healthcare Provider",500,"Hacking/IT Incident","Email",7,2023
"Aria Care Partners ","KS","Healthcare Provider",77405,"Hacking/IT Incident","Network Server",7,2023
"Charles George Department of Veterans Affairs Medical Center","NC","Healthcare Provider",1541,"Unauthorized Access/Disclosure","Email",7,2023
"The Vitality Group, LLC","IL","Business Associate",17971,"Hacking/IT Incident","Network Server",7,2023
"Catholic Charities of the Archdiocese of Newark","NJ","Healthcare Provider",9895,"Hacking/IT Incident","Network Server",7,2023
"Precision Anesthesia Billing LLC","FL","Business Associate",209200,"Hacking/IT Incident","Network Server",7,2023
"Miracle-Ear Flagship, LLC","MN","Healthcare Provider",3560,"Hacking/IT Incident","Email",7,2023
"Parsley Health, Inc. ","NY","Business Associate",1004,"Unauthorized Access/Disclosure","Network Server",7,2023
"Norton Healthcare Inc.","KY","Healthcare Provider",501,"Hacking/IT Incident","Network Server",7,2023
"Public Health Management Corporation","PA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",7,2023
"edgeMED Healthcare, LLC","FL","Business Associate",6700,"Hacking/IT Incident","Network Server",7,2023
"Phoenician Medical Center, Inc","AZ","Healthcare Provider",162500,"Hacking/IT Incident","Network Server",7,2023
"ARx Patient Solutions","KS","Healthcare Provider",41166,"Unauthorized Access/Disclosure","Email",6,2023
"Mount Desert Island Hospital, Inc.","ME","Healthcare Provider",29952,"Hacking/IT Incident","Network Server",6,2023
"South Suburban Surgical Suites, LLC","IN","Healthcare Provider",5340,"Hacking/IT Incident","Email",6,2023
"Advanced Medical Management, LLC","MD","Business Associate",319485,"Hacking/IT Incident","Network Server",6,2023
"Partnership Health Center","MT","Healthcare Provider",8331,"Unauthorized Access/Disclosure","Email",6,2023
"Henrietta Johnson Medical Center","DE","Healthcare Provider",500,"Hacking/IT Incident","Network Server",6,2023
"Activate Healthcare LLC","IL","Healthcare Provider",93761,"Hacking/IT Incident","Network Server",6,2023
"Desert Physicians Management","CA","Business Associate",63713,"Hacking/IT Incident","Network Server",6,2023
"Vitra Home Care, LLC","MA","Business Associate",658,"Hacking/IT Incident","Email",6,2023
"Limbach Facility Services LLC Group Benefit Plan","PA","Health Plan",1392,"Hacking/IT Incident","Network Server",6,2023
"DMS Health Technologies, Inc. ","ND","Healthcare Provider",48336,"Hacking/IT Incident","Network Server",6,2023
"Murfreesboro Medical Clinic & SurgiCenter","TN","Healthcare Provider",559000,"Hacking/IT Incident","Network Server",6,2023
"Community Research Foundation","CA","Healthcare Provider",30236,"Hacking/IT Incident","Network Server",6,2023
"Quatela Center for Plastic Surgery","NY","Healthcare Provider",1085,"Unauthorized Access/Disclosure","Email",6,2023
"Peachtree Orthopaedic Clinic, P.A.","GA","Healthcare Provider",34691,"Hacking/IT Incident","Network Server",6,2023
"Atrium Health Wake Forest Baptist ","NC","Healthcare Provider",3679,"Hacking/IT Incident","Email",6,2023
"New Horizons Medical, Inc","MA","Healthcare Provider",12317,"Hacking/IT Incident","Network Server",6,2023
"Parker Drilling Company Group Health and Flexible Benefit Plan","TX","Health Plan",5973,"Hacking/IT Incident","Network Server",6,2023
"Great Valley Cardiology","PA","Healthcare Provider",181764,"Hacking/IT Incident","Network Server",6,2023
"Idaho Department of Health & Welfare","ID","Health Plan",2501,"Unauthorized Access/Disclosure","Network Server",6,2023
"Uponor North America","MN","Health Plan",1048,"Hacking/IT Incident","Network Server",6,2023
"Intellihartx, LLC","TN","Business Associate",489830,"Hacking/IT Incident","Network Server",6,2023
"Marshall & Melhorn, LLC","OH","Business Associate",9412,"Hacking/IT Incident","Network Server",6,2023
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services","UT","Health Plan",5800,"Unauthorized Access/Disclosure","Paper/Films",6,2023
"Enzo Clinical Labs, Inc.","NY","Healthcare Provider",2470000,"Hacking/IT Incident","Network Server",6,2023
"South Jersey Behavorial Health Resources, Inc.","NJ","Healthcare Provider",501,"Hacking/IT Incident","Network Server",6,2023
"John N. Evans, DPM","MI","Healthcare Provider",15512,"Hacking/IT Incident","Network Server",6,2023
"Unified Operations Virginia LP","FL","Business Associate",501,"Hacking/IT Incident","Network Server",6,2023
"Mississippi Children’s Home Society, CARES Center, Inc., Mississippi Children’s Home Services, Inc., d.b.a. Canopy Children’s Solutions","MS","Healthcare Provider",501,"Hacking/IT Incident","Network Server",6,2023
"CareNet Medical Group, PC","NY","Healthcare Provider",10059,"Hacking/IT Incident","Network Server",6,2023
"Classic Residence Management Limited Partnership","IL","Healthcare Provider",12405,"Hacking/IT Incident","Network Server",6,2023
"Elgon Information Systems","MA","Business Associate",31248,"Hacking/IT Incident","Network Server",6,2023
"EpiSource","MN","Business Associate",1206,"Hacking/IT Incident","Network Server",6,2023
"Petaluma Health Center","CA","Healthcare Provider",124862,"Hacking/IT Incident","Network Server",6,2023
"Pain Relief Centers PA","NC","Healthcare Provider",7000,"Unauthorized Access/Disclosure","Electronic Medical Record",6,2023
"iSpace, Inc.","CA","Business Associate",24382,"Hacking/IT Incident","Network Server",5,2023
"Builders FirstSource Flex Plan","TX","Health Plan",3690,"Hacking/IT Incident","Network Server",5,2023
"Onix Group","PA","Business Associate",319500,"Hacking/IT Incident","Network Server",5,2023
"North Shore Medical Labs","NY","Healthcare Provider",500,"Hacking/IT Incident","Network Server",5,2023
"Sparta Community Hospital District","IL","Healthcare Provider",900,"Hacking/IT Incident","Email",5,2023
"Managed Care of North America (MCNA)","GA","Business Associate",8861076,"Hacking/IT Incident","Network Server",5,2023
"South Jersey Behavioral Health Resources, Inc.","NJ","Healthcare Provider",2193,"Hacking/IT Incident","Email",5,2023
"Valley Orthopaedic Specialists","CT","Healthcare Provider",5062,"Hacking/IT Incident","Network Server",5,2023
"Lancaster Orthopedic Group","PA","Healthcare Provider",1784,"Hacking/IT Incident","Network Server",5,2023
"Albany ENT & Allergy Services, PC.","NY","Healthcare Provider",224486,"Hacking/IT Incident","Network Server",5,2023
"Asian Health Services","CA","Healthcare Provider",6270,"Hacking/IT Incident","Email",5,2023
"Goodwill Industries of Greater New York and Northern NJ, Inc.","NY","Healthcare Provider",805,"Hacking/IT Incident","Email",5,2023
"Vascular Center of Intervention, Inc.","CA","Healthcare Provider",3833,"Hacking/IT Incident","Network Server",5,2023
"Harvard Pilgrim Health Care","MA","Health Plan",2624191,"Hacking/IT Incident","Network Server",5,2023
"MedInform, Inc.","OH","Business Associate",14453,"Hacking/IT Incident","Network Server",5,2023
"UI Community Home Care, a subsidiary of University of Iowa Health System ","IA","Healthcare Provider",67897,"Hacking/IT Incident","Electronic Medical Record, Network Server",5,2023
"Grant Regional Health Center","WI","Healthcare Provider",4135,"Hacking/IT Incident","Email",5,2023
"PillPack LLC","NH","Healthcare Provider",19032,"Hacking/IT Incident","Network Server",5,2023
"University of Missouri Health Care ","MO","Healthcare Provider",736,"Unauthorized Access/Disclosure","Electronic Medical Record",5,2023
"Clarke County Hospital   ","IA","Healthcare Provider",28003,"Hacking/IT Incident","Network Server",5,2023
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service","NJ","Health Plan",552,"Unauthorized Access/Disclosure","Electronic Medical Record, Other",5,2023
"Buckeye Health Plan","OH","Health Plan",686,"Unauthorized Access/Disclosure","Email",5,2023
"Essen Medical Associates, P.C.","NY","Healthcare Provider",500,"Hacking/IT Incident","Network Server",5,2023
"Lehigh Valley Health Network (blackcat)","PA","Healthcare Provider",248359,"Hacking/IT Incident","Network Server",5,2023
"R&B Corporation of Virginia d/b/a Credit Control Corporation","VA","Business Associate",345523,"Hacking/IT Incident","Network Server",5,2023
"PharMerica Corporation","KY","Healthcare Provider",5815591,"Hacking/IT Incident","Network Server",5,2023
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services","IL","Health Plan",50839,"Hacking/IT Incident","Network Server",5,2023
"IMA Financial Group, Inc.","KS","Business Associate",5242,"Hacking/IT Incident","Network Server",5,2023
"Uintah Basin Healthcare","UT","Healthcare Provider",103974,"Hacking/IT Incident","Network Server",5,2023
"Our Sunday Visitor, Inc.","IN","Health Plan",965,"Hacking/IT Incident","Network Server",5,2023
"People Incorporated of Sequoyah County","OK","Healthcare Provider",8725,"Hacking/IT Incident","Network Server",5,2023
"New Mexico Department of Health","NM","Healthcare Provider",49000,"Unauthorized Access/Disclosure","Network Server",5,2023
"Methodist Family Health","AR","Healthcare Provider",5259,"Hacking/IT Incident","Network Server",5,2023
"Northwest Health – La Porte","IN","Healthcare Provider",10256,"Unauthorized Access/Disclosure","Paper/Films",5,2023
"Saint Louis University","MO","Healthcare Provider",48392,"Hacking/IT Incident","Email",5,2023
"University Urology","NY","Healthcare Provider",56816,"Hacking/IT Incident","Network Server",5,2023
"Summit Eye & Optical","NJ","Healthcare Provider",5727,"Hacking/IT Incident","Network Server",5,2023
"Link Audiology LLC","WA","Healthcare Provider",7200,"Hacking/IT Incident","Email",4,2023
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers","VA","Healthcare Provider",5272,"Hacking/IT Incident","Email",4,2023
"Allina Health","MN","Healthcare Provider",1042,"Unauthorized Access/Disclosure","Network Server",4,2023
"Unlimited Care, Inc. ","NY","Healthcare Provider",8453,"Hacking/IT Incident","Network Server",4,2023
"Delphi Drug & Alcohol Council","NY","Healthcare Provider",6288,"Hacking/IT Incident","Email",4,2023
"University of California, San Francisco","CA","Healthcare Provider",676,"Hacking/IT Incident","Email",4,2023
"CounSol, LLC","FL","Business Associate",4277,"Unauthorized Access/Disclosure","Network Server",4,2023
"Lake County Health Department and Community Health Center","IL","Healthcare Provider",17000,"Hacking/IT Incident","Email",4,2023
"Mars Area School District  ","PA","Health Plan",1270,"Hacking/IT Incident","Network Server",4,2023
"Upstream RollCo, LLC","AL","Healthcare Provider",748678,"Hacking/IT Incident","Email",4,2023
"Robeson Health Care Corporation","NC","Healthcare Provider",15045,"Hacking/IT Incident","Network Server",4,2023
"Modern Cardiology Associates","","Healthcare Provider",10000,"Hacking/IT Incident","Network Server",4,2023
"Graceworks Lutheran Services","OH","Healthcare Provider",6737,"Hacking/IT Incident","Network Server",4,2023
"Morgan Stanley","NY","Health Plan",535,"Unauthorized Access/Disclosure","Paper/Films",4,2023
"Ethan Health, LLC","KY","Healthcare Provider",4047,"Hacking/IT Incident","Email",4,2023
"MiniMed Distribution Corp.","CA","Healthcare Provider",58374,"Unauthorized Access/Disclosure","Network Server",4,2023
"Dallas County","TX","Healthcare Provider",501,"Improper Disposal","Desktop Computer",4,2023
"United Steelworkers Local 286","PA","Health Plan",37965,"Hacking/IT Incident","Email",4,2023
"Henry County Hospital","OH","Healthcare Provider",3689,"Hacking/IT Incident","Network Server",4,2023
"NationsBenefits Holdings, LLC","FL","Business Associate",3037303,"Hacking/IT Incident","Network Server",4,2023
"Cummins Behavioral Health Systems","IN","Healthcare Provider",501,"Hacking/IT Incident","Network Server",4,2023
"Retina & Vitreous of Texas, PLLC","TX","Healthcare Provider",35766,"Hacking/IT Incident","Network Server",4,2023
"Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME)","IA","Health Plan",20815,"Hacking/IT Incident","Network Server",4,2023
"La Clínica de La Raza, Inc.","CA","Healthcare Provider",15316,"Hacking/IT Incident","Email",4,2023
"Gretna Family Health","NE","Healthcare Provider",845,"Hacking/IT Incident","Network Server",4,2023
"NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM","PA","Health Plan",13240,"Hacking/IT Incident","Email",4,2023
"Southwest Healthcare Services","ND","Healthcare Provider",15996,"Hacking/IT Incident","Network Server",4,2023
"Tallahassee Memorial Healthcare, Inc.","FL","Healthcare Provider",20376,"Hacking/IT Incident","Network Server",3,2023
"Monument, Inc.","NY","Business Associate",108584,"Unauthorized Access/Disclosure","Network Server",3,2023
"UHS of Delaware, Inc. ","PA","Business Associate",40290,"Hacking/IT Incident","Email",3,2023
"ProSmile Holdings, LLC","NJ","Business Associate",39674,"Hacking/IT Incident","Email",3,2023
"Nonstop Administration and Insurance Services, Inc.","PA","Business Associate",8571,"Hacking/IT Incident","Network Server",3,2023
"Adams County Children and Youth Services","PA","Healthcare Provider",722,"Hacking/IT Incident","Email",3,2023
"Atlantic General Hospital","MD","Healthcare Provider",26591,"Hacking/IT Incident","Network Server",3,2023
"NewYork-Presbyterian Hospital","NY","Healthcare Provider",54396,"Unauthorized Access/Disclosure","Network Server",3,2023
"Integrated Supports for Living, Inc.","OR","Healthcare Provider",1161,"Hacking/IT Incident","Network Server",3,2023
"OU Medicine, Inc. d/b/a OU Health","OK","Healthcare Provider",3013,"Theft","Laptop",3,2023
"Health Plan of San Mateo","CA","Health Plan",11894,"Hacking/IT Incident","Email",3,2023
"Associates in Dermatology","KY","Healthcare Provider",8517,"Hacking/IT Incident","Network Server",3,2023
"Community Health Systems Professional Services Corporations (CHSPSC), LLC","TN","Business Associate",962884,"Hacking/IT Incident","Network Server",3,2023
"UC San Diego Health ","CA","Healthcare Provider",23000,"Unauthorized Access/Disclosure","Network Server, Other",3,2023
"AllCare Plus Pharmacy, Inc.","MA","Healthcare Provider",757,"Hacking/IT Incident","Email",3,2023
"Healthy Options dba Postal Prescription Services – Kroger ","OH","Healthcare Provider",82466,"Unauthorized Access/Disclosure","Network Server",3,2023
"Top of the World Ranch Treatment Center","IL","Healthcare Provider",1980,"Hacking/IT Incident","Email",3,2023
"NorthStar Emergency Medical Services","AL","Healthcare Provider",82450,"Hacking/IT Incident","Network Server",3,2023
"ZOLL Services LLC ","MA","Healthcare Provider",997097,"Hacking/IT Incident","Network Server",3,2023
"Colquitt Complete Care, LLC","GA","Healthcare Provider",1282,"Hacking/IT Incident","Network Server",3,2023
"Beacon Health System","IN","Healthcare Provider",3117,"Unauthorized Access/Disclosure","Electronic Medical Record",3,2023
"The M K Morse Company's Health Plan","OH","Health Plan",1378,"Hacking/IT Incident","Network Server",3,2023
"SundaySky, Inc.","NY","Business Associate",37095,"Hacking/IT Incident","Network Server",3,2023
"Trinity Health","MI","Business Associate",45350,"Hacking/IT Incident","Email",3,2023
"Northeast Surgical Group, PC","MI","Healthcare Provider",15298,"Hacking/IT Incident","Network Server",3,2023
"Denver Public Schools Medical Plans","CO","Health Plan",35068,"Hacking/IT Incident","Network Server",3,2023
"Codman Square Health Center","MA","Healthcare Provider",10161,"Hacking/IT Incident","Network Server",3,2023
"MHMR Authority of Brazos Valley ","TX","Healthcare Provider",78984,"Hacking/IT Incident","Network Server",2,2023
"Community Health Group ","CA","Health Plan",824,"Hacking/IT Incident","Network Server",2,2023
"eMDs, Inc.","TX","Business Associate",625,"Hacking/IT Incident","Network Server",2,2023
"Harrisburg Medical Center (“HMC”)","IL","Healthcare Provider",147826,"Hacking/IT Incident","Network Server",2,2023
"Hutchinson Clinic, P.A. ","KS","Healthcare Provider",100000,"Hacking/IT Incident","Network Server",2,2023
"Shady Lane Nursing Home","NJ","Healthcare Provider",566,"Hacking/IT Incident","Desktop Computer, Laptop, Network Server",2,2023
"Jackson Lewis P.C. ","CA","Business Associate",986,"Theft","Other Portable Electronic Device",2,2023
"Reventics, LLC","FL","Business Associate",4212823,"Hacking/IT Incident","Network Server",2,2023
"Compass Behavioral Health","KS","Healthcare Provider",537,"Hacking/IT Incident","Email",2,2023
"Highmark Inc","PA","Business Associate",36600,"Hacking/IT Incident","Email",2,2023
"Nelson Pharmacy Consulting Services PLC","IA","Healthcare Provider",500,"Hacking/IT Incident","Desktop Computer, Network Server",2,2023
"Cheyenne Radiology Group & MRI, P.C.","WY","Healthcare Provider",12222,"Hacking/IT Incident","Network Server",2,2023
"Tattnall County, Georgia","GA","Healthcare Provider",1337,"Hacking/IT Incident","Network Server",2,2023
"Health Benefit Plan of Bridgewater-Raritan Regional School District","NJ","Health Plan",3909,"Hacking/IT Incident","Network Server",2,2023
"90 Degree Benefits, Inc.","WI","Business Associate",175000,"Hacking/IT Incident","Network Server",2,2023
"NR Pennsylvania Associates, LLC","PA","Healthcare Provider",14335,"Hacking/IT Incident","Network Server",2,2023
"Frank R. Laurri, M.D. and Associates, P.C.","NY","Healthcare Provider",2673,"Unauthorized Access/Disclosure","Electronic Medical Record",2,2023
"Vitra Health, Inc.","MA","Healthcare Provider",1618,"Hacking/IT Incident","Email",2,2023
"Cardiovascular Associates","AL","Healthcare Provider",441640,"Hacking/IT Incident","Network Server",2,2023
"Southeast Colorado Hospital District","CO","Healthcare Provider",1435,"Hacking/IT Incident","Email",2,2023
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below","AZ","Healthcare Provider",10978,"Hacking/IT Incident","Network Server",2,2023
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group","CA","Healthcare Provider",3388856,"Hacking/IT Incident","Network Server",2,2023
"Brooks Rehabilitation","FL","Healthcare Provider",1554,"Unauthorized Access/Disclosure","Network Server",1,2023
"DotHouse Health Incorporated","MA","Healthcare Provider",10000,"Hacking/IT Incident","Network Server",1,2023
"Benefit Administrative Systems, LLC (BAS)","IL","Business Associate",6465,"Hacking/IT Incident","Network Server",1,2023
"Minuteman Senior Services","MA","Healthcare Provider",500,"Hacking/IT Incident","Email",1,2023
"Benefit Management LLC","KS","Business Associate",3356,"Hacking/IT Incident","Email",1,2023
"Peachtree Immediate Care FP, LLC","GA","Healthcare Provider",2555,"Unauthorized Access/Disclosure","Paper/Films",1,2023
"One Brooklyn Health System","NY","Healthcare Provider",500,"Hacking/IT Incident","Network Server",1,2023
"University of Colorado Hospital Authority","CO","Healthcare Provider",48879,"Hacking/IT Incident","Network Server",1,2023
"DPP II, LLC","TX","Healthcare Provider",125981,"Hacking/IT Incident","Network Server",1,2023
"Community Psychiatry Management, LLC, dba Mindpath Health","NC","Healthcare Provider",193947,"Hacking/IT Incident","Email",1,2023
"Insulet Corporation","MA","Healthcare Provider",29000,"Unauthorized Access/Disclosure","Network Server",1,2023
"Lantern Hill Retirement Community","NJ","Healthcare Provider",528,"Unauthorized Access/Disclosure","Network Server",1,2023
"Barclay Damon LLP","NY","Business Associate",1039,"Hacking/IT Incident","Email",1,2023
"NR Florida Associates LLC","FL","Healthcare Provider",6250,"Hacking/IT Incident","Network Server",12,2022
"L. Knife & Son, Inc. Employee Benefits Plan","MA","Health Plan",4082,"Hacking/IT Incident","Network Server",12,2022
"Legacy Operating Company d/b/a Legacy Hospice","AL","Healthcare Provider",21202,"Hacking/IT Incident","Email",12,2022
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System","LA","Healthcare Provider",269752,"Hacking/IT Incident","Network Server",12,2022
"University of Miami ","FL","Healthcare Provider",973,"Unauthorized Access/Disclosure","Email",12,2022
"Bay City Health & Rehabilitation Center ","TX","Healthcare Provider",2000,"Hacking/IT Incident","Network Server",12,2022
"Metropolitan Area EMS Authority dba MedStar Mobile Healthcare","TX","Healthcare Provider",612000,"Hacking/IT Incident","Network Server",12,2022
"Foundcare, Inc.","FL","Healthcare Provider",14194,"Hacking/IT Incident","Email",12,2022
"Avem Health Partners","OK","Business Associate",271303,"Hacking/IT Incident","Network Server",12,2022
"Sleep Center Hawaii","HI","Healthcare Provider",5396,"Hacking/IT Incident","Email",12,2022
"Pediatrics West, P.C.","MA","Healthcare Provider",1364,"Hacking/IT Incident","Network Server",12,2022
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.","GA","Health Plan",20849,"Hacking/IT Incident","Network Server",12,2022
"NYC Health + Hospitals","NY","Healthcare Provider",2174,"Loss","Other Portable Electronic Device",12,2022
"CommonSpirit Health","IL","Business Associate",623774,"Hacking/IT Incident","Network Server",12,2022
"Keck Medicine of USC","CA","Healthcare Provider",2200,"Hacking/IT Incident","Email",11,2022
"Dallam Hartley Counties Hospital District","TX","Healthcare Provider",69835,"Hacking/IT Incident","Network Server",11,2022
"Compton & Broomhead Dental Center","IN","Healthcare Provider",1307,"Hacking/IT Incident","Email",11,2022
"Hope Health Systems Inc.","MD","Healthcare Provider",9972,"Hacking/IT Incident","Electronic Medical Record",11,2022
"Orlando Health","FL","Healthcare Provider",3662,"Hacking/IT Incident","Email",11,2022
"Wright & Filippis LLC","MI","Healthcare Provider",877584,"Hacking/IT Incident","Network Server",11,2022
"Gateway Rehabilitation Center","PA","Healthcare Provider",130000,"Hacking/IT Incident","Network Server",11,2022
"Innovative Service Technology Management Services, Inc. ","GA","Health Plan",2654,"Hacking/IT Incident","Network Server",11,2022
"South Walton Fire District","FL","Healthcare Provider",25331,"Hacking/IT Incident","Network Server",11,2022
"Docs Medical Inc","CT","Healthcare Provider",3146,"Hacking/IT Incident","Network Server",11,2022
"Epic Management LLC","TN","Healthcare Provider",10862,"Hacking/IT Incident","Email",11,2022
"Health Care Management Solutions, LLC","WV","Business Associate",500000,"Hacking/IT Incident","Network Server",11,2022
"NewYork-Presbyterian Hospital","NY","Healthcare Provider",12000,"Hacking/IT Incident","Laptop",11,2022
"Stanley Street Treatment and Resources, Inc. ","MA","Healthcare Provider",45785,"Hacking/IT Incident","Network Server",11,2022
"Connexin Software, Inc.","PA","Business Associate",2675934,"Hacking/IT Incident","Network Server",11,2022
"Doctors' Center Hospital","","Healthcare Provider",1195220,"Hacking/IT Incident","Network Server",11,2022
"Heartland Alliance ","IL","Business Associate",46694,"Hacking/IT Incident","Network Server",11,2022
"Eastside Pediatrics, PLLC","NY","Healthcare Provider",1723,"Hacking/IT Incident","Network Server",11,2022
"OCEANVIEWS OPTICAL INC","FL","Healthcare Provider",2000,"Hacking/IT Incident","Network Server",11,2022
"TIC International Corporation (“TIC”)","IN","Business Associate",1362,"Hacking/IT Incident","Network Server",11,2022
"CorrectCare Integrated Health, Inc.","KY","Business Associate",4380,"Unauthorized Access/Disclosure","Network Server",10,2022
"CorrectCare Integrated Health, Inc.","KY","Business Associate",438713,"Unauthorized Access/Disclosure","Network Server",10,2022
"Heart of Florida Health Center, Inc.","FL","Healthcare Provider",721,"Unauthorized Access/Disclosure","Network Server",10,2022
"The Psychology Center","WI","Healthcare Provider",3614,"Unauthorized Access/Disclosure","Network Server",10,2022
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York","NY","Health Plan",21544,"Hacking/IT Incident","Email",10,2022
"Assurance Health System, LLC","IN","Healthcare Provider",3565,"Hacking/IT Incident","Email",10,2022
"SightCare, Inc.","AZ","Health Plan",637999,"Hacking/IT Incident","Network Server",10,2022
